test_id,date,model_family,model_variant,model_file,quant,backend,threads,ngl,n_cpu_moe,ctx_size,kv_cache_type_k,kv_cache_type_v,mtp_enabled,spec_type,spec_draft_n_max,prompt_tokens,generated_tokens,prompt_tps,decode_tps,total_time_sec,ram_peak_mb,vram_peak_mb,status,error_message,notes
# ===== 階段 B: RTX 3060 bin-only（CPU-only，缺失CUDA runtime）=====
n01,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,28,32768,q8_0,q8_0,false,,,16,200,27.97,10.35,19.3,15262,932,success,fake_gpu,"実為CPU-only，因缺失CUDA runtime DLL"
n02,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,24,32768,q8_0,q8_0,false,,,16,200,27.92,10.27,19.5,unknown,932,success,fake_gpu,
n03,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,20,32768,q8_0,q8_0,false,,,16,200,28.13,10.68,18.7,unknown,932,success,fake_gpu,此階段最佳(CPU-only)
n04,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,16,32768,q8_0,q8_0,false,,,16,200,28.12,10.66,18.8,unknown,932,success,fake_gpu,
n05,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,12,32768,q8_0,q8_0,false,,,16,200,28.41,10.67,18.8,unknown,932,success,fake_gpu,
n06,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,8,32768,q8_0,q8_0,false,,,16,200,23.89,10.17,19.7,unknown,932,success,fake_gpu,
n07,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,4,32768,q8_0,q8_0,false,,,16,200,28.35,10.49,19.1,unknown,932,success,fake_gpu,
n08,2026-06-02,qwen35b-a3b,normal,Qwen3.6-35B-A3B-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,0,32768,q8_0,q8_0,false,,,16,200,28.36,10.45,19.1,unknown,932,success,fake_gpu,
# ===== 階段 B2: MTP CPU-only sweep（缺失CUDA runtime）=====
m01,2026-06-02,qwen35b-a3b,mtp,Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,20,32768,q8_0,q8_0,true,draft-mtp,1,16,200,unknown,8.76,unknown,unknown,932,success,fake_gpu,
m02,2026-06-02,qwen35b-a3b,mtp,Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,20,32768,q8_0,q8_0,true,draft-mtp,2,16,200,unknown,9.60,unknown,unknown,932,success,fake_gpu,
m03,2026-06-02,qwen35b-a3b,mtp,Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,Q4_K_M,CUDA(CPU-fallback),6,99,20,32768,q8_0,q8_0,true,draft-mtp,3,16,200,unknown,10.99,unknown,unknown,932,success,fake_gpu,
